update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1473.8759237531926,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9368473999202251,0.11617858661338687,-0.09152598292712355,0.12349130003349273,0.16228714645729853,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,1503.109060754416,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9310723319649696,0.25596788828261197,-0.11801272942102514,0.19849159009754658,0.1900398437364919,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,1454.3792288006528,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9197621308267117,0.1860569764394313,-0.03760190066532232,0.07612727740342962,0.11517544748766516,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,1460.0260175557992,5,0.0,0.0,0,0,0.0,0.0,0,0,1.924202162772417,0.3569784383289516,-0.16272420677705668,0.14097279397537932,0.21539409422157813,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,1479.8087417912195,6,0.0,0.0,0,0,0.0,0.0,0,0,1.919501194730401,0.33413019590079784,-0.0015276978410838638,0.03155477492691716,0.0767134125162574,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,1429.6245071793826,8,0.0,0.0,0,0,0.0,0.0,0,0,1.9197588879615068,0.3179812813177705,0.0282205895127845,0.009269739746741834,0.03945043605661139,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,1467.1853708036087,9,0.0,0.0,0,0,0.0,0.0,0,0,1.9220722615718842,0.2680403352715075,0.043330016545951366,0.004217111059915624,0.03688770870659729,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,1418.069243907456,11,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695,996.25,14.523687548277813,940.0,1000.0,1.915873870253563,0.21382648148573935,0.047288710899010766,0.027065612934165983,0.0779263115050628,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,1449.8636361641616,12,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695,996.25,14.523687548277813,940.0,1000.0,1.899465324357152,0.27989376126788557,0.003537270884407917,0.05604569874412846,0.14861700823862498,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,1446.6875725559762,14,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695,996.25,14.523687548277813,940.0,1000.0,1.8963154926896095,0.20693112420849502,0.038837431551655754,0.002104333600073005,0.029058281608018564,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695
11,22528,1469.3447018259526,15,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695,996.25,14.523687548277813,940.0,1000.0,1.9092752635478973,0.17959799407981336,0.030663844634545967,0.0006353617186505289,0.01823924621034983,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695
12,24576,1458.4813700932298,16,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695,996.25,14.523687548277813,940.0,1000.0,1.9168269988149405,0.15034263650886714,0.024771738797426224,0.0002228504928325492,0.010166054680548861,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695
13,26624,1449.572725819922,18,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695,996.25,14.523687548277813,940.0,1000.0,1.9258442893624306,0.12814500334206969,0.021763364085927606,0.00012850510586304154,0.00885775067276118,4.977625012397766,0.6410793641559451,3.780749797821045,6.1792497634887695
